trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_197841_b_643_tn_16,05:15:00,05:15:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_16,05:20:00,05:20:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_160,17:15:00,17:15:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_160,17:20:00,17:20:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_161,17:20:00,17:20:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_161,17:25:00,17:25:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_162,17:25:00,17:25:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_162,17:30:00,17:30:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_163,17:30:00,17:30:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_163,17:35:00,17:35:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_164,17:35:00,17:35:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_164,17:40:00,17:40:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_165,17:40:00,17:40:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_165,17:45:00,17:45:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_166,17:45:00,17:45:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_166,17:50:00,17:50:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_167,17:50:00,17:50:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_167,17:55:00,17:55:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_168,17:55:00,17:55:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_168,18:00:00,18:00:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_169,18:00:00,18:00:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_169,18:05:00,18:05:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_17,05:20:00,05:20:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_17,05:25:00,05:25:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_170,18:05:00,18:05:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_170,18:10:00,18:10:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_171,18:10:00,18:10:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_171,18:15:00,18:15:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_172,18:15:00,18:15:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_172,18:20:00,18:20:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_173,18:20:00,18:20:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_173,18:25:00,18:25:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_174,18:25:00,18:25:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_174,18:30:00,18:30:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_175,18:30:00,18:30:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_175,18:35:00,18:35:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_176,18:35:00,18:35:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_176,18:40:00,18:40:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_177,18:40:00,18:40:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_177,18:45:00,18:45:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_178,18:45:00,18:45:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_178,18:50:00,18:50:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_179,18:50:00,18:50:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_179,18:55:00,18:55:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_18,05:25:00,05:25:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_18,05:30:00,05:30:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_180,18:55:00,18:55:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_180,19:00:00,19:00:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_181,19:00:00,19:00:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_181,19:05:00,19:05:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_182,19:05:00,19:05:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_182,19:10:00,19:10:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_183,19:10:00,19:10:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_183,19:15:00,19:15:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_184,19:15:00,19:15:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_184,19:20:00,19:20:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_185,19:20:00,19:20:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
